ICOSAHEDRON

200,150,100;180,50,158 180,50,158;130,150,195 130,150,195;200,150,100 
180,50,158;130,150,195 130,150,195;69,50,195 69,50,195;180,50,158 
130,150,195;69,50,195 69,50,195;19,150,158 19,150,158;130,150,195 
69,50,195;19,150,158 19,150,158;0,50,100 0,50,100;69,50,195 
19,150,158;0,50,100 0,50,100;19,150,41 19,150,41;19,150,158 
0,50,100;19,150,41 19,150,41;69,50,4 69,50,4;0,50,100 
19,150,41;69,50,4 69,50,4;130,150,4 130,150,4;19,150,41 
69,50,4;130,150,4 130,150,4;180,50,41 180,50,41;69,50,4 
130,150,4;180,50,41 180,50,41;200,150,100 200,150,100;130,150,4 
180,50,41;200,150,100 200,150,100;180,50,158 180,50,158;180,50,41 
180,50,158;100,0,100 100,0,100;69,50,195 69,50,195;180,50,158 
69,50,195;100,0,100 100,0,100;0,50,100 0,50,100;69,50,195 
0,50,100;100,0,100 100,0,100;69,50,4 69,50,4;0,50,100 
69,50,4;100,0,100 100,0,100;180,50,41 180,50,41;69,50,4 
180,50,41;100,0,100 100,0,100;180,50,158 180,50,158;180,50,41 
200,150,100;100,200,100 100,200,100;130,150,195 130,150,195;200,150,100 
130,150,195;100,200,100 100,200,100;19,150,158 19,150,158;130,150,195 
19,150,158;100,200,100 100,200,100;19,150,41 19,150,41;19,150,158 
19,150,41;100,200,100 100,200,100;130,150,4 130,150,4;19,150,41 
130,150,4;100,200,100 100,200,100;200,150,100 200,150,100;130,150,4 
