ROTATIONSHAPE

180,100,0;100,100,199 100,100,199;100,100,199 100,100,199;172,132,0 172,132,0;180,100,0 
172,132,0;100,100,199 100,100,199;100,100,199 100,100,199;153,159,0 153,159,0;172,132,0 
153,159,0;100,100,199 100,100,199;100,100,199 100,100,199;124,176,0 124,176,0;153,159,0 
124,176,0;100,100,199 100,100,199;100,100,199 100,100,199;92,179,0 92,179,0;124,176,0 
92,179,0;100,100,199 100,100,199;100,100,199 100,100,199;60,169,0 60,169,0;92,179,0 
60,169,0;100,100,199 100,100,199;100,100,199 100,100,199;35,147,0 35,147,0;60,169,0 
35,147,0;100,100,199 100,100,199;100,100,199 100,100,199;21,116,0 21,116,0;35,147,0 
21,116,0;100,100,199 100,100,199;100,100,199 100,100,199;21,83,0 21,83,0;21,116,0 
21,83,0;100,100,199 100,100,199;100,100,199 100,100,199;35,52,0 35,52,0;21,83,0 
35,52,0;100,100,199 100,100,199;100,100,199 100,100,199;60,30,0 60,30,0;35,52,0 
60,30,0;100,100,199 100,100,199;100,100,199 100,100,199;92,20,0 92,20,0;60,30,0 
92,20,0;100,100,199 100,100,199;100,100,199 100,100,199;124,24,0 124,24,0;92,20,0 
124,24,0;100,100,199 100,100,199;100,100,199 100,100,199;153,40,0 153,40,0;124,24,0 
153,40,0;100,100,199 100,100,199;100,100,199 100,100,199;172,67,0 172,67,0;153,40,0 
172,67,0;100,100,199 100,100,199;100,100,199 100,100,199;180,100,0 180,100,0;172,67,0 
